O/E/A,Title (EN),Bezeichnung (deutsch),Beschreibung (falls nicht aus externer Ontologie entnommen)/Definition,Grund-/Fachbuch,Attribute,Relationen,UUID,key,anwendbar auf
Entität,distortion of facts,Tatsachenverdrehung,"Ein Sprecher kommuniziert über ein Thema so, dass er einen Adressaten irreführt, entweder indem er unverblümte Lügen erzählt oder eine Nachricht in irreführender Form präsentiert.",Fachbuch,,,stc://media-0-4/distortion_of_facts,entity.stc://media-0-4/distortion_of_facts,
,,,,,,,,,
,"Adjektive (beschreibend, allgemein)",,,,,,,,
Entität,incalculable,unkalkulierbar,nicht einschätzbar (vorab),Fachbuch,,,stc://media-0-4/incalculable,entity.stc://media-0-4/incalculable,
Entität,considered,besonnen,"Besonnenheit bezeichnet, im Unterschied zur Impulsivität, die überlegte, selbstbeherrschte Gelassenheit, die besonders auch in schwierigen oder heiklen Situationen den Verstand die Oberhand behalten lässt, um vorschnelle und unüberlegte Entscheidungen oder Taten zu vermeiden.",Fachbuch,,,https://www.wikidata.org/wiki/Q830031,entity.https://www.wikidata.org/wiki/Q830031,
Entität,determined,entschlossen,eine ganz bestimmte Absicht habend und diese energisch und ohne Zögern verfolgend,Fachbuch,,,stc://media-0-4/determined,entity.stc://media-0-4/determined,
Entität,according to the situation,der Situation entsprechend,der jeweilig vorliegenden Lage angemessen,Fachbuch,,,stc://media-0-4/according_to_the_situation,entity.stc://media-0-4/according_to_the_situation,
Entität,grotesque,grotesk,"Das Adjektiv grotesk steht für wunderlich, verzerrt, seltsam, übertrieben. Im umgangssprachlichen Gebrauch hat es oft eine abwertende Bedeutung als Steigerungspartikel",Fachbuch,,,https://www.wikidata.org/wiki/Q56296532,entity.https://www.wikidata.org/wiki/Q56296532,
Entität,important,wichtig,"für jemanden, etwas von wesentlicher Bedeutung [sodass viel davon abhängt]",Fachbuch,,,stc://media-0-4/important,entity.stc://media-0-4/important,
Entität,barbaric,barbarisch,"unmenschlich, roh, grausam, unzivilsiert",Fachbuch,,,https://www.wikidata.org/wiki/Q134313,entity.https://www.wikidata.org/wiki/Q134313,
Entität,more/more often/stronger,mehr/häufiger/stärker,Komparativ zu häufig/stark,Fachbuch,,,stc://media-0-4/more,entity.stc://media-0-4/more,
Entität,unequivocal/clear,eindeutig/klar,"(in Bedeutung, Inhalt, Sinn) völlig klar, unmissverständlich",Fachbuch,,,stc://media-0-4/unequivocal,entity.stc://media-0-4/unequivocal,
Entität,brave,tapfer,sich furchtlos und zum Widerstand bereit mit Gefahren und Schwierigkeiten auseinandersetzend,Fachbuch,,,stc://media-0-4/brave,entity.stc://media-0-4/brave,
Entität,irresponsible,unverantwortlich,ohne jedes Verantwortungsgefühl,Fachbuch,,,stc://media-0-4/irresponsible,entity.stc://media-0-4/irresponsible,
Entität,overdue,überfällig,"längst fällig; verspätet, noch nicht eingetroffen",Fachbuch,,,https://www.wikidata.org/wiki/Q105766445,entity.https://www.wikidata.org/wiki/Q105766445,
Entität,frivolous,leichtfertig,unbedacht und vorschnell; in verantwortungsloser Weise gedankenlos; fahrlässig,Fachbuch,,,https://www.wikidata.org/wiki/Q107490377,entity.https://www.wikidata.org/wiki/Q107490377,
